biblionumber;document_type;title;subtitle;authors;isbn;ean;date;publisher;pages;abstract;cover_url;holdings;opac_suppressed;list_no;list;list_sort
272037;LIVRE;"Le métier de bibliothécaire";;"Association des bibliothécaires de France";978-2-7654-0977-9;9782765409779;2010;"Éditions du Cercle de la librairie";"1 volume (565 pages)";;;"[{""library"": ""SJA"", ""location"": ""BUR"", ""callnumber"": ""020 MET""},{""library"": ""GEORGEV"", ""location"": ""SL"", ""callnumber"": ""020 ASS""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020.23 ASS""},{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 665 MET""},{""library"": ""BIUTF"", ""location"": ""MAG"", ""callnumber"": ""020 MET""}]";0;11;"fonds pro";title
272240;LIVRE;"Enjeux et perspectives de l'édition électronique";;"[publié par l'] Université Michel de Montaigne-Bordeaux, AMERIBER (GRIAL)";978-2-86781-669-7;9782867816697;2010;"Presses universitaires de Bordeaux";"1 volume (77 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.579 ENJ""}]";0;11;"fonds pro";title
272380;LIVRE;"La reliure";"comme un professionnel";"Henriette Rigaut";2-215-01173-4;9782215011736;1989;"Ed. Fleurus";"1 volume (121 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.7 RIG""}]";0;11;"fonds pro";title
273550;LIVRE;"Horizon 2019";"bibliothèques en prospective | colloque";"Dominique Arot, Anne-Marie Bertrand, Robert Damien, François Gèse, Bertrand Legendre, Pascal Ory, Georges Perrin, François Rouet, Valérie Tesnière";978-2-910227-87-6;9782910227876;2011;"Presses de l’enssib";"1 volume (111 pages)";"Que seront les bibliothèques en 2019 ? Dans quel contexte évolueront-elles ? Quelles missions leur seront confiées ? Quelle légitimité sera la leur ? Voilà quelques-unes des questions évoquées dans le colloque « Horizon 2019 : bibliothèques en prospective », tenu à l'enssib en 2009. Voici, dans cet ouvrage, quelques-unes des réponses, hypothèses, conjectures, interrogations et suppositions apportées par les intervenants de ce colloque. Interrogations, analyses qui cherchent à éclairer l'horizon, à défaut de le rejoindre. Hypothèses, scénarios qui cherchent à déchiffrer l'avenir mais aussi à le construire.";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""027.4 HOR""},{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""021 ARO""}]";0;11;"fonds pro";title
273612;LIVRE;"Rolex learning center";;"Francesco Della Casa et Eugène";978-2-88074-861-6;9782880748616;2010;"Presses polytechniques et universitaires romandes = EPFL press";"1 vol. (221 p. dont 9 dépl.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""022 DEL""}]";0;11;"fonds pro";title
275518;LIVRE;"Les bibliothèques et la transition numérique";"les ateliers internet, entre injonctions sociales et constructions individuelles";"sous la direction de Pascal Plantard et Agnès Vigué-Camus";978-2-37546-010-8;9782375460108;2017;"Presses de l'enssib";"1 volume (208 pages)";"""Il est presque impossible aujourd'hui de trouver du travail, de s'inscrire à l'Université, ou de faire des démarches administratives sans disposer d'une adresse électronique ou faire usage des réseaux sociaux et des moteurs de recherche sur le Web. Les bibliothèques se sont rapidement positionnées pour accompagner ce tournant numérique en ouvrant des ateliers d'initiation à l'informatique, à l'Internet puis au numérique. Dans cet ouvrage, un collectif de chercheurs (sciences de l'éducation, sciences politiques, sociologie, anthropologie, etc.) et de bibliothécaires (lecture publique notamment) revient sur l'expérience des 'ateliers internet' et analyse l'apport spécifique des bibliothèques en France et à l'étranger dans la construction d'une culture numérique. Au-delà du thème de la fracture numérique, qui imposerait une ligne de partage entre les citoyens connectés et les autres, ces auteurs indiquent que les lignes de rupture sont plurielles ; les usagers qui prennent le chemin des 'ateliers internet' cherchent tout à la fois à faire face aux injonctions sociales de la société de l'information, à acquérir des savoir-faire qu'ils considèrent comme nécessaires mais aussi à se ressaisir comme individu compétent, intégré, reconnu. Ces ateliers en bibliothèque constituent des tiers-lieux essentiels, au cœur de la cité, où peut s'opérer une transition numérique entre des façons d'apprendre, de communiquer, de travailler, de se lier à l'autre et de faire société."" [Source : 4e de couv.]";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.5 BIB""}]";0;11;"fonds pro";title
275586;LIVRE;"Des sources ouvertes au web de données";;"rédacteurs invités : Khaled Khelif, Laurie Serrano, Fatiha Saïs,... [et al.]";978-2-7056-8842-4;9782705688424;2014;Hermann;"1 volume (91 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 SOU""}]";0;11;"fonds pro";title
275983;LIVRE;"Bibliothèques universitaires";"nouveaux horizons";"sous la direction de François Cavalier et Martine Poulain";978-2-7654-1469-8;9782765414698;2015;"Éditions du Cercle de la librairie";"1 vol. (311 p.)";"Les bibliothèques universitaires ont connu des évolutions majeures au cours de ces vingt dernières années. Leur développement a été sensible, leur environnement technologique et institutionnel s'est radicalement transformé et les universités, longtemps pilotées par l'État, progressent douloureusement sur le chemin d'une autonomie renégociée au sein de grands regroupements, porteurs d'autant de problèmes et de défis que d'opportunités. Adaptant leur politique documentaire, associant plus que jamais imprimé et numérique, travaillant toujours plus en réseaux, les bibliothèques veillent à conserver les matériaux de la recherche et leurs archives jusqu'aux données elles-mêmes, aident à concevoir des supports numériques de la pédagogie, explorent de nouveaux domaines comme la publication scientifique en ligne. Dynamiques mais déstabilisées par ces changements, les bibliothèques universitaires doivent définir un nouveau pacte avec leurs utilisateurs et forger les compétences nécessaires à leurs nouvelles activités. Entre sur-fréquentation (présence massive des étudiants), transformation des usages (baisse des prêts, attente de services plus que de collections) et éloignement des chercheurs et enseignants, la bibliothèque universitaire se réinvente continûment dans un effort de marketing de ses services et de renouvellement de son offre, repensée en relation étroite avec de multiples partenaires.";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""027.7 BIB""}]";0;11;"fonds pro";title
277591;LIVRE;"Big data";"nouvelles partitions de l'information | actes du séminaire IST Inria, octobre 2014";"ouvrage coordonné par Lisette Calderan, Pascale Laurent, Hélène Lowinger... [et al.]";978-2-8041-8915-0;9782804189150;2015;"De Boeck | ADBS";"1 vol. (152 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 BIG""}]";0;11;"fonds pro";title
278444;LIVRE;"100 fiches pour organiser sa veille sur Internet";;"Xavier Delengaigne";978-2-212-67723-2;9782212677232;2019;"Éditions Eyrolles";"1 volume (xiii-338 pages)";"""Rechercher sur Internet est désormais une des activités les plus communes, que ce soit dans notre vie professionnelle ou personnelle. Tout le monde pense, à tort, savoir chercher sur Internet : pour beaucoup, lancer une requête sur Google suffit amplement. Or la veille va plus loin qu'une simple recherche sur Internet. Elle consiste à collecter, analyser, trier, partager et enfin diffuser l'information. Internet constitue souvent le premier champ d'actions de la veille. Des outils existent pour automatiser ses recherches. Ce livre pratique se propose de faire découvrir (ou approfondir) le concept de veille au travers d'outils (libres ou non) présents gratuitement sur le Web, et de techniques pour gagner en efficacité face au trop-plein d'informations auquel nous sommes confrontés quotidiennement. Une nouvelle édition mise à jour pour tenir compte des derniers outils apparus. Elle propose 100 fiches claires et détaillées.""";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 DEL""},{""library"": ""SJA"", ""location"": ""ST"", ""callnumber"": ""004 DEL""}]";0;11;"fonds pro";title
